How old are you?,To what gender do you most identify?,What school are you from?,"In what grade will you be this Fall? (If you are homeschooled, please approximate.)",What related experience do you have? (Note no experience is necessary or expected.),What programming languages have you tried? (Note no experience is necessary or expected.),How good at Language Arts are you?,How important to you is doing well in Language Arts?,How much effort do you put into Language Arts?,How good at Math are you?,How important to you is doing well in Math?,How much effort do you put into Math?,How good at Science are you?,How important to you is doing well in Science?,How much effort do you put into Science?,How good at Social Science are you?,How important to you is doing well in Social Science?,How much effort do you put into Social Science?,How much influence would you say your parents or guardians have in your performance at school?,How much encouragement would you say your parents or guardians give to perform well at school?,How did you hear about the Data Science Academy?,What preparation do you feel you have coming into the academy?,How prepared for college do you feel in general?,Are you planning to enter the workforce or get a full time job in the next year?,How prepared for the workforce do you feel?,Do you hope to go to college?,How prepared for college do you feel in terms of education?,Have you visited UCR before?,Are you considering attending UCR?,"In one year from now, where do you imagine yourself in terms of your education or work plans? e.g., still in HS, in college, in a job, what job, be as specific as possible.",Are finances a major concern or factor in deciding your future plans?,Are you interested in receiving scholarship or other financial support for college or workforce entry?,"When you think of social determinants of health, what comes to mind?","When you think of homelessness, what comes to mind?",How much data analysis have you done regarding social determinants of health and homelessness?,"Would you be interested in one of UCR's other Summer Camp style program (Robotic, Coding Camp)?",What do you look forward to from the Data Science Academy?,"If so, what would you study in college?","How would you rate your proficiency with coding? (If unsure, select 1. No proficiency expected or required.)",What do you think the difference is between Data Science and Computer Science?,"How would you rate your proficiency with data analysis? (If unsure, select 1. No proficiency expected or required.)",How much of a hard worker are you?,How much time do you spend on school on a weekday?,How much time do you spend on school on a weekend?,How confident are you with programming?,"How familiar are you with variables, functions, and loops?",Are you familiar with Python ,How many lines of Python code have you written in your life?,How important is it to your parents or guardians that you do well in Language Arts?,How important is it to your parents or guardians that you do well in Math?,How important is it to you to do well in this summer camp?,How important is it to your parents or guardians that you do well in Science?,How important is it to your parents or guardians that you do well in Social Studies?,With which race(s) and ethnicity do you identify? (You may select more than one.),In what city is your school located?,How much time have you spent programming?,How many lines of code have you written?,"If so I, would you consider UCR for college?","Any final comments, concerns or suggestions?",How much do you feel you know about social determinants of health?,"How much do you feel you know about homeless data (e.g., demographics, social programs, barriers)?",,,How many lines of Python code have you written in your life?
16,Male,West High,12th grade,"Some coding (computer programming), Statistics, Data Analytics, Pre-calculus, Calculus (any level)","Python, Java, JavaScript, Scratch (or other visual language)",4,4,5,5,5,5,5,5,5,5,5,4,4,5,Classroom or Teacher or Principal,,5,No,3,Yes,5,No,Yes,,4,Yes,,,1,Yes,,Data Science,4,,2,4,More than 5 hours,3 to 4 hours,5,5,,,5,5,5,5,5,Asian,Torrance,5,5,Yes,,3,1,,,
13,Female,Pomona Catholic High School,9th grade,none,n/a,4,4,5,4,4,5,5,5,5,5,5,5,5,5,Parent or guardian,,3,No,2,Yes,3,No,Yes,Still in High School ,5,Yes,,People need help,1,Yes,Gaining new knowledge in Science field,undecided,1,,1,5,4 to 5 hours,2 to 3 hours,1,1,,,5,5,5,5,5,Hispanic or Latinx,Pomona,1,1,Yes,,3,1,,,
15,Female,Pomona Catholic High School,10th grade,none,n/a,4,4,4,4,4,4,4,5,4,5,5,5,5,5,Parent or guardian,,3,No,3,Yes,3,No,Yes,Junior Year/High School,5,Yes,,"Sadness, mental health",1,Yes,Better understanding of Computer/Data Science,undecided,1,,1,5,More than 5 hours,More than 5 hours,2,2,,,5,5,5,5,5,Hispanic or Latinx,Pomona ,1,1,Yes,,2,1,,,
12,Male,Norton Math & Science Academy,8th grade,Some coding (computer programming),Scratch (or other visual language),3,3,3,4,3,3,5,3,3,3,3,3,3,2,Parent or guardian,,3,Yes,3,Yes,3,Yes,Not sure,"stock market or resale
",4,Maybe,healthy eating,a homeles person,2,Maybe,advancing my skill sets,,1,I don't know,2,3,More than 5 hours,1 to 2 hours,1,4,,,3,4,3,4,3,Black or African American,San Bernardino,2,3,Not sure,no,3,3,,,
16,Male,Grand Terrace High School,11th grade,Some coding (computer programming),Scratch (or other visual language),5,5,5,3,1,2,4,4,4,4,4,4,3,5,Parent or guardian,,3,Yes,5,Yes,3,No,No,I will be studying to be an animator ,5,Maybe,I dont know what that means,My life previously ,4,Yes,I guess something to do and learn,Art,2,Data Science is about accumulative information and computer science is about technology ,1,3,More than 5 hours,less than 1 hour,2,4,,,3,3,2,3,3,Hispanic or Latinx,Grand Terrace,1,3,Not sure,I'm not sure if this academy is for me,1,5,,,
17,Female,Summit High School,12th grade,no experience ,Java,4,4,5,4,5,5,4,5,5,4,4,4,4,3,Classroom or Teacher or Principal,,5,Not sure,5,Yes,4,Yes,Yes,"Well i’m currently in high school and work at olive garden, which i love because it keeps me busy. As for my education i really want to go to college specifically at UC Riverside, I’m really interested in becoming a business analyst. ",5,Yes,"what comes to mind is how important it is and should be discussed more. I didn’t know about it till i read it somewhere in a book, it’s very interesting how your environment can have a huge impact on your health. ","What comes to mind is there are many reasons there are homeless people, it can do with lack of education opportunities, poor job opportunities due to racism and prejudice or even mental disorders that are not focused on enough. ",3,Yes,I really hope i can fully grasp all the information and hope to have a better understanding of how data science works. I’m so grateful for this opportunity,Data Science,1,i’m not sure yet but i will learn,1,5,3 to 4 hours,2 to 3 hours,1,1,,,3,4,5,3,3,Hispanic or Latinx,Fontana ,1,1,Yes,I’m really excited,4,3,,,
12,Male,Wickman Elementary,7th grade,"Statistics, Other advanced math (Linear Algebra, Differential Equations, Combinatorics)",Python,2,4,4,5,5,4,4,5,4,4,4,4,4,4,Parent or guardian,,4,No,4,Yes,4,Yes,Yes,I imagine myself in Middle school in class.,1,Yes,I don't really know anything.,That there is quite a bit of unemployment in the world.,1,Yes,To learn how to do really cool things on the computer. To have some fun with it.,I dont know. ,1,"Data science is to analyze and store data. Computer Science is where you study how Computers work, and use codes to test that.",2,4,less than 1 hour,1 to 2 hours,2,1,,,5,5,4,5,5,"Asian, Indian (India the country)",Chino Hills,1,2,Yes,No.,1,1,,,
16,Male,West High School,12th grade,"Some coding (computer programming), Statistics, Pre-calculus, Calculus (any level), Other advanced math (Linear Algebra, Differential Equations, Combinatorics)","Python, Java, C/C++, Scratch (or other visual language)",4,4,5,5,5,5,5,5,5,4,4,4,5,5,Classroom or Teacher or Principal,,5,Not sure,4,Yes,5,No,Yes,I see myself admitted into a good college.,5,Yes,Mental health and stress.,Poverty,1,Yes,I want to really learn if data science is something. could apply to major in for college. It's been interesting to me but I want to get more in depth.,Data Science,3,Computer Science seems to have more to do with creating functions and things to accomplish tasks. Data Science analyzes data to be used for certain purposes.,2,5,More than 5 hours,More than 5 hours,4,5,,,5,5,5,5,5,Asian,Torrance,4,4,Yes,Thank you for the opportunity!,2,1,,,
16,Male,West High School,12th grade,"Some coding (computer programming), Some web development (HTML/CSS), Pre-calculus","Python, Java, Scratch (or other visual language)",4,4,2,4,5,5,4,4,5,1,1,1,5,5,Classroom or Teacher or Principal,,3,No,3,Yes,4,No,Yes,In a college dorm doing data science.,5,Yes,N/A,Having no home .,1,Yes,Understand what Data Science and get a glimpse of what it will look like.,Data Science,3,Data Science is the study of data and information.,1,4,2 to 3 hours,less than 1 hour,5,5,,,1,5,5,5,1,"Black or African American, Asian",Torrance,5,5,Yes,Whata are other summer camos UCR provides.,1,1,,,
14,Male,Canyon Hills Jr. High,9th grade,Basic Python programming skills,Python,4,5,5,4,5,5,5,5,5,4,4,4,5,5,"Parent or guardian, Classmate or Friend",,4,No,2,Yes,4,Yes,Yes,HS,1,Yes,,Income level,2,Yes,To learn something new.,Computer Science,1,Data science is related to data analytics. Computer science covers hardware and software related topics.,1,5,4 to 5 hours,2 to 3 hours,2,2,,,5,5,5,5,5,Asian,Chino Hills,1,1,Yes,,,2,,,
14,Female,Joe Baca Middle School,9th grade,No experience ,No experience,4,5,5,4,5,5,4,5,5,3,4,4,4,5,Parent or guardian,,4,Not sure,3,Yes,4,Yes,Not sure,I see myself still in HS. I will probably have my license and maybe a summer job. ,3,Yes,What comes to mind is a group or company which gives information to us for our health.,Someone not have a home and living in the streets. ,1,Maybe,The experience and learning different skills. ,Not sure,1,Computer is just involving computers and data is the truth.,3,4,3 to 4 hours,1 to 2 hours,3,1,,,5,5,4,5,5,Hispanic or Latinx,Bloomington,1,1,Not sure,This is my first time joining one of these camps. I am not sure of what is to be expected and I'm nervous. ,2,3,,,
16,Male,Cypress High School,12th grade,"Some coding (computer programming), Pre-calculus, Calculus (any level), Other advanced math (Linear Algebra, Differential Equations, Combinatorics)","Python, Java, Scratch (or other visual language)",4,4,3,5,5,5,4,5,4,4,4,4,5,5,Classmate or Friend,,3,Yes,3,Yes,4,No,Yes,I want to attend a 4 year university after I graduate from high school in May 2022. I would also want an internship related to data science or computer science,3,No,Education and community.,Sadness,2,Yes,I wish to learn more about what data science actually is. I have a serious interest in making it my career but I do not know much information about it.,Data Science,3,I think the difference between data science and computer science is that data science involves the combination of computer programs and algorithms with statistics and analysis while computer science mainly focuses on the programming part.,3,4,2 to 3 hours,2 to 3 hours,3,4,,,4,5,5,5,4,Asian,Cypress,3,3,Yes,,2,3,,,
16,Male,West High,12th grade,"Some coding (computer programming), Some web development (HTML/CSS), Pre-calculus, Calculus (any level)","Python, Java, C/C++, Scratch (or other visual language)",4,4,4,5,5,5,5,5,5,,4,4,5,5,Classroom or Teacher or Principal,,4,No,3,Yes,5,No,Yes,Completing HS/entering College,4,Maybe,,,1,Maybe,,Computer Science,4,Data Science features more data compared to CS.,3,5,3 to 4 hours,2 to 3 hours,4,5,,,4,5,4,5,4,Asian,"Torrance, CA",5,5,Yes,n/a,,3,,,
